,id,title,condition,thumbnail_id,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,thumbnail,currency_id,order_backend,price,original_price,sale_price,available_quantity,official_store_id,use_thumbnail_id,accepts_mercadopago,variation_filters,stop_time,variations_data,winner_item_id,catalog_listing,discounts,promotions,inventory_id,official_store_name,store_pick_up,free_shipping,logistic_type,mode,tags,benefits,promise,id_seller,nickname,0,1,2,3,4,5,6,7,8,9,quantity,amount,rate,currency_id,id_differential_pricing
0,MCO851263844,Creatina Monohidratada X 300gr,new,804358-MCO48863603701_012022,MCO26814301,gold_special,https://articulo.mercadolibre.com.co/MCO-851263844-creatina-monohidratada-x-300gr-_JM,buy_it_now,MCO,MCO8830,MCO-SUPPLEMENTS,http://http2.mlstatic.com/D_804358-MCO48863603701_012022-I.jpg,COP,1,128900,,,250,,True,True,['FLAVOR'],2042-01-13T04:00:00.000Z,"{'174109070515': {'thumbnail': 'http://http2.mlstatic.com/D_804358-MCO48863603701_012022-O.jpg', 'ratio': '0.75', 'name': '', 'pictures_qty': 2, 'inventory_id': 'DEUM69986'}}",,False,,[],,,False,True,fulfillment,me2,"['fulfillment', 'mandatory_free_shipping']",,,163316116,SALOTOCOLOMBIA,"{'id': 'BRAND', 'name': 'Marca', 'value_id': '11927968', 'value_name': 'Healthy Sports', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '11927968', 'name': 'Healthy Sports', 'struct': None, 'source': 7092}], 'source': 7092, 'value_type': 'string'}","{'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 3045741222775799}], 'source': 3045741222775799, 'value_type': 'list'}","{'id': 'LINE', 'name': 'Línea', 'value_id': '13463364', 'value_name': 'Suplementos Dietarios', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '13463364', 'name': 'Suplementos Dietarios', 'struct': None, 'source': 3045741222775799}], 'source': 3045741222775799, 'value_type': 'string'}","{'id': 'SALE_FORMAT', 'name': 'Formato de venta', 'value_id': '1359391', 'value_name': 'Unidad', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '1359391', 'name': 'Unidad', 'struct': None, 'source': 3045741222775799}], 'source': 3045741222775799, 'value_type': 'list'}","{'id': 'SERVING_WEIGHT', 'name': 'Peso de la porción', 'value_id': '11169533', 'value_name': '3 g', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'values': [{'id': '11169533', 'name': '3 g', 'struct': {'number': 3, 'unit': 'g'}, 'source': 7092}], 'source': 7092, 'value_type': 'number_unit', 'value_struct.number': 3, 'value_struct.unit': 'g'}","{'id': 'UNITS_PER_PACK', 'name': 'Unidades por pack', 'value_id': None, 'value_name': '1', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': None, 'name': '1', 'struct': None, 'source': 2579503448603610}], 'source': 2579503448603610, 'value_type': 'number'}","{'id': 'UNIT_WEIGHT', 'name': 'Peso de la unidad', 'value_id': None, 'value_name': '300 g', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'values': [{'id': None, 'name': '300 g', 'struct': {'number': 300, 'unit': 'g'}, 'source': 7092}], 'source': 7092, 'value_type': 'number_unit', 'value_struct.number': 300, 'value_struct.unit': 'g'}",,,,36.0,3580.56,0.0,COP,
1,MCO456800629,"Bi Pro, Proteina Bipro Envío Gratis - L a $74950",new,965863-MCO74677186625_022024,MCO18951365,gold_special,https://articulo.mercadolibre.com.co/MCO-456800629-bi-pro-proteina-bipro-envio-gratis-_JM,buy_it_now,MCO,MCO8830,MCO-SUPPLEMENTS,http://http2.mlstatic.com/D_965863-MCO74677186625_022024-I.jpg,COP,2,149900,,,250,2018.0,True,True,['FLAVOR'],2041-03-14T06:20:48.000Z,"{'32296925687': {'thumbnail': 'http://http2.mlstatic.com/D_973262-MCO73780851696_012024-O.jpg', 'ratio': '0.79', 'name': '', 'pictures_qty': 2, 'inventory_id': 'CBWS24487'}, '32296925685': {'thumbnail': 'http://http2.mlstatic.com/D_764159-MCO71655389111_092023-O.jpg', 'ratio': '0.60', 'name': '', 'pictures_qty': 1, 'inventory_id': 'ZDKG24487'}, '32296925683': {'thumbnail': 'http://http2.mlstatic.com/D_965863-MCO74677186625_022024-O.jpg', 'ratio': '0.54', 'name': '', 'pictures_qty': 2, 'inventory_id': 'LKUA23889'}}",,False,,[],,BiPro,False,True,fulfillment,me2,"['fulfillment', 'self_service_in', 'mandatory_free_shipping']",,,161753574,UPN LAB,"{'id': 'BRAND', 'name': 'Marca', 'value_id': '11750310', 'value_name': 'Bi Pro', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '11750310', 'name': 'Bi Pro', 'struct': None, 'source': 7092}], 'source': 7092, 'value_type': 'string'}","{'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'list'}","{'id': 'LINE', 'name': 'Línea', 'value_id': None, 'value_name': 'Módulo Protéico', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': None, 'name': 'Módulo Protéico', 'struct': None, 'source': 7092}], 'source': 7092, 'value_type': 'string'}","{'id': 'SALE_FORMAT', 'name': 'Formato de venta', 'value_id': '1359391', 'value_name': 'Unidad', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '1359391', 'name': 'Unidad', 'struct': None, 'source': 7092}], 'source': 7092, 'value_type': 'list'}","{'id': 'SERVING_WEIGHT', 'name': 'Peso de la porción', 'value_id': '11750309', 'value_name': '26 g', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'values': [{'id': '11750309', 'name': '26 g', 'struct': {'number': 26, 'unit': 'g'}, 'source': 7092}], 'source': 7092, 'value_type': 'number_unit', 'value_struct.number': 26, 'value_struct.unit': 'g'}","{'id': 'UNITS_PER_PACK', 'name': 'Unidades por pack', 'value_id': None, 'value_name': '1', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': None, 'name': '1', 'struct': None, 'source': 1505}], 'source': 1505, 'value_type': 'number'}",,,,,36.0,4163.89,0.0,COP,
2,MCO1785703282,Citrato De Magnesio & Potasio 99.9%  Usp - g a $182,new,740737-MLA73058994831_112023,,gold_special,https://articulo.mercadolibre.com.co/MCO-1785703282-citrato-de-magnesio-potasio-999-usp-g-a-192-_JM,buy_it_now,MCO,MCO8830,MCO-SUPPLEMENTS,http://http2.mlstatic.com/D_740737-MLA73058994831_112023-I.jpg,COP,3,45505,47900.0,,200,,True,True,['FLAVOR'],2043-08-06T04:00:00.000Z,"{'179394676135': {'thumbnail': 'http://http2.mlstatic.com/D_740737-MLA73058994831_112023-O.jpg', 'ratio': '1.05', 'name': '', 'pictures_qty': 6, 'inventory_id': 'OKFW67926'}}",,False,,[],,,False,False,fulfillment,me2,['fulfillment'],,,204811782,GIIV4529461,"{'id': 'BRAND', 'name': 'Marca', 'value_id': None, 'value_name': 'Mupro', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': None, 'name': 'Mupro', 'struct': None, 'source': 2860837171021627}], 'source': 2860837171021627, 'value_type': 'string'}","{'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 2860837171021627}], 'source': 2860837171021627, 'value_type': 'list'}","{'id': 'LINE', 'name': 'Línea', 'value_id': None, 'value_name': 'Citratos', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': None, 'name': 'Citratos', 'struct': None, 'source': 2860837171021627}], 'source': 2860837171021627, 'value_type': 'string'}","{'id': 'SALE_FORMAT', 'name': 'Formato de venta', 'value_id': '1359391', 'value_name': 'Unidad', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '1359391', 'name': 'Unidad', 'struct': None, 'source': 2860837171021627}], 'source': 2860837171021627, 'value_type': 'list'}","{'id': 'SERVING_WEIGHT', 'name': 'Peso de la porción', 'value_id': None, 'value_name': '2 g', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'values': [{'id': None, 'name': '2 g', 'struct': {'unit': 'g', 'number': 2}, 'source': 2860837171021627}], 'source': 2860837171021627, 'value_type': 'number_unit', 'value_struct.number': 2, 'value_struct.unit': 'g'}","{'id': 'UNITS_PER_PACK', 'name': 'Unidades por pack', 'value_id': None, 'value_name': '1', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': None, 'name': '1', 'struct': None, 'source': 2860837171021627}], 'source': 2860837171021627, 'value_type': 'number'}",,,,,36.0,1264.03,0.0,COP,
3,MCO1196357005,Lubricante Gel Intimo Natural A Base De - mL a $245,new,971277-MLU74178525251_012024,MCO20949973,gold_pro,https://www.mercadolibre.com.co/lubricante-gel-intimo-natural-a-base-de-ml-a-249/p/MCO20949973,buy_it_now,MCO,MCO180840,MCO-PERSONAL_LUBRICANTS_AND_GELS,http://http2.mlstatic.com/D_971277-MLU74178525251_012024-I.jpg,COP,4,17500,,,50,,True,True,,2043-01-13T04:00:00.000Z,,,True,,[],PTOK02619,,False,False,cross_docking,me2,['self_service_in'],,,827842172,CASA7876007,"{'id': 'UNITS_PER_PACKAGE', 'name': 'Unidades por envase', 'value_id': None, 'value_name': '1', 'attribute_group_id': '', 'attribute_group_name': '', 'value_struct': None, 'values': [{'id': None, 'name': '1', 'struct': None, 'source': 3045741222775799}], 'source': 3045741222775799, 'value_type': 'integer'}","{'id': 'BRAND', 'name': 'Marca', 'value_id': '2499062', 'value_name': 'Elixir', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '2499062', 'name': 'Elixir', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'string'}","{'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 3045741222775799}], 'source': 3045741222775799, 'value_type': 'list'}","{'id': 'MODEL', 'name': 'Modelo', 'value_id': '13694282', 'value_name': 'Lubricante Intimo', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '13694282', 'name': 'Lubricante Intimo', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'string'}","{'id': 'PACKAGE_LENGTH', 'name': 'Largo del paquete', 'value_id': None, 'value_name': '16.4 cm', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'values': [{'id': None, 'name': '16.4 cm', 'struct': {'number': 16.4, 'unit': 'cm'}, 'source': 4333789534002961}], 'source': 4333789534002961, 'value_type': 'number_unit', 'value_struct.number': 16.4, 'value_struct.unit': 'cm'}","{'id': 'PACKAGE_WEIGHT', 'name': 'Peso del paquete', 'value_id': None, 'value_name': '140 g', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'values': [{'id': None, 'name': '140 g', 'struct': {'unit': 'g', 'number': 140}, 'source': 4333789534002961}], 'source': 4333789534002961, 'value_type': 'number_unit', 'value_struct.number': 140, 'value_struct.unit': 'g'}",,,,,,,,,
4,MCO1155364869,Oxímetro De Pulso Para Dedo Gmd Pulsax 500 Pro Negro/blanco,new,797369-MLA48626771214_122021,MCO18398433,gold_special,https://www.mercadolibre.com.co/oximetro-de-pulso-para-dedo-gmd-pulsax-500-pro-negroblanco/p/MCO18398433,buy_it_now,MCO,MCO166556,MCO-OXIMETERS,http://http2.mlstatic.com/D_797369-MLA48626771214_122021-I.jpg,COP,5,75141,,,1,,True,True,,2043-12-25T04:59:32.000Z,,,True,,[],FQIO02912,,False,False,fulfillment,me2,"['fulfillment', 'self_service_in']",,,52773616,BACATÁ COMMERCE,"{'id': 'BRAND', 'name': 'Marca', 'value_id': '9837740', 'value_name': 'GMD', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '9837740', 'name': 'GMD', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'string'}","{'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 3045741222775799}], 'source': 3045741222775799, 'value_type': 'list'}","{'id': 'MODEL', 'name': 'Modelo', 'value_id': '11463072', 'value_name': 'Pulsax 500 Pro', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '11463072', 'name': 'Pulsax 500 Pro', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'string'}","{'id': 'PACKAGE_LENGTH', 'name': 'Largo del paquete', 'value_id': None, 'value_name': '6.4 cm', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'values': [{'id': None, 'name': '6.4 cm', 'struct': {'number': 6.4, 'unit': 'cm'}, 'source': 4333789534002961}], 'source': 4333789534002961, 'value_type': 'number_unit', 'value_struct.number': 6.4, 'value_struct.unit': 'cm'}","{'id': 'PACKAGE_WEIGHT', 'name': 'Peso del paquete', 'value_id': None, 'value_name': '60 g', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'values': [{'id': None, 'name': '60 g', 'struct': {'number': 60, 'unit': 'g'}, 'source': 4333789534002961}], 'source': 4333789534002961, 'value_type': 'number_unit', 'value_struct.number': 60, 'value_struct.unit': 'g'}",,,,,,36.0,2087.25,0.0,COP,
5,MCO1990073844,Tensiometro Brazo Monitor Presion Arterial Digital Bateria Recargable Usb Femmto Yk-bpa2,new,825951-MLU71329891255_082023,MCO24219646,gold_special,https://www.mercadolibre.com.co/tensiometro-brazo-monitor-presion-arterial-digital-bateria-recargable-usb-femmto-yk-bpa2/p/MCO24219646,buy_it_now,MCO,MCO180837,MCO-BLOOD_PRESSURE_MONITORS,http://http2.mlstatic.com/D_825951-MLU71329891255_082023-I.jpg,COP,6,94900,209900.0,,500,2094.0,True,True,,2043-10-22T04:00:00.000Z,,,True,,[],IFMU89068,Femmto Healthcare,False,True,fulfillment,me2,"['fulfillment', 'mandatory_free_shipping']",,,1299679414,FEMMTO HEALTHCARE_COL,"{'id': 'BRAND', 'name': 'Marca', 'value_id': '1007168', 'value_name': 'Femmto', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '1007168', 'name': 'Femmto', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'string'}","{'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 6402814585011704}], 'source': 6402814585011704, 'value_type': 'list'}","{'id': 'MODEL', 'name': 'Modelo', 'value_id': '12315900', 'value_name': 'YK-BPA2', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '12315900', 'name': 'YK-BPA2', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'string'}","{'id': 'PACKAGE_LENGTH', 'name': 'Largo del paquete', 'value_id': None, 'value_name': '16.2 cm', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'values': [{'id': None, 'name': '16.2 cm', 'struct': {'number': 16.2, 'unit': 'cm'}, 'source': 4333789534002961}], 'source': 4333789534002961, 'value_type': 'number_unit', 'value_struct.number': 16.2, 'value_struct.unit': 'cm'}","{'id': 'PACKAGE_WEIGHT', 'name': 'Peso del paquete', 'value_id': None, 'value_name': '440 g', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'values': [{'id': None, 'name': '440 g', 'struct': {'number': 440, 'unit': 'g'}, 'source': 4333789534002961}], 'source': 4333789534002961, 'value_type': 'number_unit', 'value_struct.number': 440, 'value_struct.unit': 'g'}",,,,,,36.0,2636.11,0.0,COP,
6,MCO2246809280,Bascula Balanza Pesa Digital Bluetooth Color Negro,new,764901-MLU73116587704_122023,MCO20546497,gold_special,https://www.mercadolibre.com.co/bascula-balanza-pesa-digital-bluetooth-color-negro/p/MCO20546497,buy_it_now,MCO,MCO169104,MCO-BODYWEIGHT_SCALES,http://http2.mlstatic.com/D_764901-MLU73116587704_122023-I.jpg,COP,7,28331,,,500,,True,True,,2044-02-29T04:00:00.000Z,,,True,,[],,,False,False,cross_docking,me2,['self_service_in'],,,170121574,HOME_STORE_HOME,"{'id': 'BRAND', 'name': 'Marca', 'value_id': '14758982', 'value_name': 'Bascula Digital', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '14758982', 'name': 'Bascula Digital', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'string'}","{'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 6402814585011704}], 'source': 6402814585011704, 'value_type': 'list'}","{'id': 'LENGTH', 'name': 'Largo', 'value_id': '1061412', 'value_name': '26 cm', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'values': [{'id': '1061412', 'name': '26 cm', 'struct': {'number': 26, 'unit': 'cm'}, 'source': 1}], 'source': 1, 'value_type': 'number_unit', 'value_struct.number': 26, 'value_struct.unit': 'cm'}","{'id': 'MIN_WEIGHT', 'name': 'Peso mínimo', 'value_id': '19316789', 'value_name': '180 kg', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'values': [{'id': '19316789', 'name': '180 kg', 'struct': {'unit': 'kg', 'number': 180}, 'source': 1}], 'source': 1, 'value_type': 'number_unit', 'value_struct.number': 180, 'value_struct.unit': 'kg'}","{'id': 'MODEL', 'name': 'Modelo', 'value_id': '14758983', 'value_name': 'bascula personal', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '14758983', 'name': 'bascula personal', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'string'}",,,,,,36.0,786.97,0.0,COP,
7,MCO1990061338,Tensiometro Brazo Bluetooth Monitor Presion Arterial Digital Bateria Recargable Usb Retroiluminado Femmto Bpa4,new,710851-MLU71287633208_082023,MCO24540767,gold_special,https://www.mercadolibre.com.co/tensiometro-brazo-bluetooth-monitor-presion-arterial-digital-bateria-recargable-usb-retroiluminado-femmto-bpa4/p/MCO24540767,buy_it_now,MCO,MCO180837,MCO-BLOOD_PRESSURE_MONITORS,http://http2.mlstatic.com/D_710851-MLU71287633208_082023-I.jpg,COP,8,107900,220900.0,,50,2094.0,True,True,,2043-10-22T04:00:00.000Z,,,True,,[],KUXP87054,Femmto Healthcare,False,True,fulfillment,me2,"['fulfillment', 'mandatory_free_shipping']",,,1299679414,FEMMTO HEALTHCARE_COL,"{'id': 'BRAND', 'name': 'Marca', 'value_id': '1007168', 'value_name': 'Femmto', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '1007168', 'name': 'Femmto', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'string'}","{'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 6402814585011704}], 'source': 6402814585011704, 'value_type': 'list'}","{'id': 'MODEL', 'name': 'Modelo', 'value_id': '20891044', 'value_name': 'BPA4', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '20891044', 'name': 'BPA4', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'string'}","{'id': 'PACKAGE_LENGTH', 'name': 'Largo del paquete', 'value_id': None, 'value_name': '16.2 cm', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'values': [{'id': None, 'name': '16.2 cm', 'struct': {'unit': 'cm', 'number': 16.2}, 'source': 4333789534002961}], 'source': 4333789534002961, 'value_type': 'number_unit', 'value_struct.number': 16.2, 'value_struct.unit': 'cm'}","{'id': 'PACKAGE_WEIGHT', 'name': 'Peso del paquete', 'value_id': None, 'value_name': '460 g', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'values': [{'id': None, 'name': '460 g', 'struct': {'number': 460, 'unit': 'g'}, 'source': 4333789534002961}], 'source': 4333789534002961, 'value_type': 'number_unit', 'value_struct.number': 460, 'value_struct.unit': 'g'}",,,,,,36.0,2997.22,0.0,COP,
8,MCO1303888682,Lubricante Intimo Hibrido Base Agua Y Silicona 250ml,new,989731-MLU74673903271_022024,MCO21952495,gold_special,https://www.mercadolibre.com.co/lubricante-intimo-hibrido-base-agua-y-silicona-250ml/p/MCO21952495,buy_it_now,MCO,MCO181037,MCO-PERSONAL_LUBRICANTS_AND_GELS,http://http2.mlstatic.com/D_989731-MLU74673903271_022024-I.jpg,COP,9,21349,,,1,,True,True,,2043-12-16T15:04:40.000Z,,,True,,[],MUXV95497,,False,False,fulfillment,me2,"['fulfillment', 'self_service_in']",,,827842172,CASA7876007,"{'id': 'BRAND', 'name': 'Marca', 'value_id': '2499062', 'value_name': 'Elixir', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '2499062', 'name': 'Elixir', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'string'}","{'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 7092}], 'source': 7092, 'value_type': 'list'}","{'id': 'MODEL', 'name': 'Modelo', 'value_id': '14758696', 'value_name': 'Hibrido', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '14758696', 'name': 'Hibrido', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'string'}","{'id': 'PACKAGE_LENGTH', 'name': 'Largo del paquete', 'value_id': None, 'value_name': '4.7 cm', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'values': [{'id': None, 'name': '4.7 cm', 'struct': {'number': 4.7, 'unit': 'cm'}, 'source': 4333789534002961}], 'source': 4333789534002961, 'value_type': 'number_unit', 'value_struct.number': 4.7, 'value_struct.unit': 'cm'}","{'id': 'PACKAGE_WEIGHT', 'name': 'Peso del paquete', 'value_id': None, 'value_name': '280 g', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'values': [{'id': None, 'name': '280 g', 'struct': {'number': 280, 'unit': 'g'}, 'source': 4333789534002961}], 'source': 4333789534002961, 'value_type': 'number_unit', 'value_struct.number': 280, 'value_struct.unit': 'g'}","{'id': 'SALE_FORMAT', 'name': 'Formato de venta', 'value_id': '1359391', 'value_name': 'Unidad', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '1359391', 'name': 'Unidad', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'list'}","{'id': 'UNITS_PER_PACK', 'name': 'Unidades por pack', 'value_id': '2726554', 'value_name': '1', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '2726554', 'name': '1', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'number'}",,,,36.0,593.03,0.0,COP,
9,MCO1711322258,Tirillas Para Glucometría Freestyle Optium X 50 Unidades Color Amarillo,new,832422-MLU70400220730_072023,MCO24458306,gold_pro,https://www.mercadolibre.com.co/tirillas-para-glucometria-freestyle-optium-x-50-unidades-color-amarillo/p/MCO24458306,buy_it_now,MCO,MCO166749,MCO-BLOOD_GLUCOSE_METERS,http://http2.mlstatic.com/D_832422-MLU70400220730_072023-I.jpg,COP,10,49900,,,1,,True,True,,2043-07-08T04:00:00.000Z,,,True,,[],AZTB84231,,False,False,cross_docking,me2,['fbm_in_process'],,,177556124,DISPOMEDC,"{'id': 'BRAND', 'name': 'Marca', 'value_id': '20792016', 'value_name': 'Freestyle Abbott', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '20792016', 'name': 'Freestyle Abbott', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'string'}","{'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 8342579661593500}], 'source': 8342579661593500, 'value_type': 'list'}","{'id': 'MODEL', 'name': 'Modelo', 'value_id': '18401478', 'value_name': 'Optium', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '18401478', 'name': 'Optium', 'struct': None, 'source': 1}], 'source': 1, 'value_type': 'string'}",,,,,,,,12.0,4158.33,0.0,COP,33602181.0
